timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-08_15-44-00,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,133,2.82
2026-04-08_15-44-06,EW,YELLOW,3,0,0,2,1,2,0.00,0.00,12.03,6.02,133,3.33
2026-04-08_15-44-09,EW,ALL_RED,3,0,0,2,1,2,0.00,0.00,18.18,9.09,133,3.91
2026-04-08_15-44-13,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,133,4.56
2026-04-08_15-44-39,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,190,3.99
2026-04-08_15-44-42,NS,ALL_RED,3,0,0,2,1,2,0.00,0.00,0.00,0.00,190,3.96
2026-04-08_15-44-55,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-45-20,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,69,0.00
2026-04-08_15-45-24,NS,ALL_RED,3,0,0,2,2,2,0.00,0.00,0.00,0.00,69,0.00
2026-04-08_15-45-27,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,69,0.00
2026-04-08_15-45-33,EW,YELLOW,3,0,0,2,1,2,0.00,0.00,12.39,6.19,69,1.72
2026-04-08_15-45-36,EW,ALL_RED,3,0,0,2,1,2,0.00,0.00,18.43,9.21,69,3.48
2026-04-08_15-45-41,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,69,5.69
2026-04-08_15-46-07,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,142,3.60
2026-04-08_15-46-11,NS,ALL_RED,3,0,0,2,2,2,0.00,0.00,0.00,0.00,142,3.47
2026-04-08_15-46-15,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,142,3.35
2026-04-08_15-46-21,EW,YELLOW,3,0,0,2,1,2,0.00,0.00,13.80,6.90,142,3.73
2026-04-08_15-46-24,EW,ALL_RED,3,0,0,2,1,2,0.00,0.00,19.84,9.92,142,4.50
2026-04-08_15-46-28,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,142,5.62
2026-04-08_15-46-55,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,209,4.51
2026-04-08_15-46-58,NS,ALL_RED,3,0,0,2,1,2,0.00,0.00,0.00,0.00,209,4.40
2026-04-08_15-47-02,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,209,4.28
2026-04-08_15-47-08,EW,YELLOW,3,0,0,2,1,2,0.00,0.00,12.38,6.19,209,4.42
2026-04-08_15-47-11,EW,ALL_RED,3,0,0,2,1,2,0.00,0.00,18.71,9.35,209,4.89
