scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,7,2,0,1,103.0,12.0,0.0,2.0,0,0,0,10
medium,2,0,0,4,2.0,0.0,0.0,38.0,1,0,0,10
medium,6,1,1,1,75.0,3.0,1.0,3.0,0,0,0,15
medium,1,0,2,4,1.0,0.0,13.0,47.0,1,0,0,15
medium,6,2,0,1,95.0,23.0,0.0,2.0,0,0,0,15
medium,1,0,1,5,2.0,0.0,9.0,57.0,1,0,0,10
medium,5,1,0,1,59.0,4.0,0.0,2.0,0,0,0,10
medium,2,0,1,2,1.0,0.0,5.0,12.0,1,0,1,20
medium,7,1,1,1,118.0,17.0,1.0,0.0,0,0,0,10
medium,2,0,2,1,1.0,0.0,23.0,10.0,1,0,1,20
medium,6,2,0,1,112.0,18.0,0.0,1.0,0,0,0,15
medium,1,0,0,5,1.0,0.0,0.0,76.0,1,0,1,25
medium,7,2,0,0,150.0,28.0,0.0,0.0,0,0,1,20
medium,0,1,0,0,0.0,2.0,0.0,0.0,1,0,0,10
medium,6,1,0,1,71.0,10.0,0.0,1.0,0,0,0,10
medium,5,0,0,3,44.0,0.0,0.0,25.0,1,0,0,10
medium,6,0,0,2,56.0,0.0,0.0,4.0,0,0,0,10
medium,1,1,2,5,2.0,0.0,9.0,64.0,1,0,0,10
medium,6,0,0,1,69.0,0.0,0.0,1.0,0,0,0,15
medium,3,0,1,4,7.0,0.0,9.0,61.0,1,0,0,10
medium,5,0,0,2,61.0,0.0,0.0,6.0,0,0,0,10
medium,2,0,2,4,4.0,0.0,5.0,47.0,1,0,0,10
medium,7,1,0,0,94.0,3.0,0.0,0.0,0,0,0,10
medium,1,0,1,3,2.0,0.0,6.0,27.0,1,0,0,10
medium,7,1,0,1,84.0,4.0,0.0,1.0,0,0,0,10
medium,1,0,2,4,2.0,0.0,7.0,42.0,1,0,0,10
medium,5,0,0,2,71.0,0.0,0.0,3.0,0,0,0,10
