timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-08_17-18-33,EW,GREEN,10,0,1,0,1,0,0.00,0.00,0.00,0.00,57,10.01
2026-04-08_17-18-50,NS,GREEN,10,0,1,0,1,0,0.00,0.55,0.00,0.00,0,0.27
2026-04-08_17-19-00,NS,YELLOW,3,0,1,0,1,0,2.85,10.55,0.00,0.00,9,6.52
2026-04-08_17-19-03,NS,ALL_RED,3,0,1,0,1,0,2.85,13.67,0.00,0.00,9,8.49
2026-04-08_17-19-08,EW,GREEN,10,0,1,0,1,0,0.00,0.00,0.00,0.00,9,9.48
2026-04-08_17-19-18,EW,YELLOW,3,0,1,0,1,0,0.00,0.00,0.00,10.10,18,7.80
2026-04-08_17-19-22,EW,ALL_RED,3,0,1,0,1,0,0.00,0.00,0.00,14.63,18,8.09
2026-04-08_17-19-26,NS,GREEN,10,0,1,0,1,0,0.00,0.00,0.00,0.00,18,8.89
2026-04-08_17-19-37,NS,YELLOW,3,0,1,0,1,0,0.00,11.71,0.00,0.00,27,7.93
2026-04-08_17-20-00,NS,GREEN,10,0,1,0,1,0,0.00,0.26,0.00,0.00,0,0.09
2026-04-08_17-20-10,NS,YELLOW,3,0,1,0,1,0,0.00,10.29,0.00,0.00,9,5.07
2026-04-08_17-31-52,NS,GREEN,10,2,1,1,1,0,1.12,0.56,0.00,0.00,0,0.85
2026-04-08_17-32-02,NS,YELLOW,3,2,1,1,1,0,21.12,10.56,0.00,0.00,18,16.01
2026-04-08_17-32-05,NS,ALL_RED,3,2,1,1,1,0,27.29,13.64,0.00,0.00,18,20.78
2026-04-08_17-32-09,EW,GREEN,10,2,1,1,1,0,0.00,0.00,0.00,0.00,18,23.30
2026-04-08_17-32-19,EW,YELLOW,3,2,1,1,1,0,0.00,0.00,9.95,10.22,39,18.28
2026-04-08_17-32-24,EW,ALL_RED,3,2,1,1,1,0,0.00,0.00,14.12,14.40,39,18.60
